Segment,label1,label2,label3,label4,label5,label6,label7,label8,label9,label10,label11
    1,SS,,,,,,,,,,
    2,SS,,,,,,,,,,
    3,TT,,,,,,,,,,
    4,TT,,,,,,,,,,
    6,TT,,,,,,,,,,
    9,SS,,,,,,,,,,
   15,IC,,,,,,,,,,
   17,TT,,,,,,,,,,
   23,TT,,,,,,,,,,
   24,TT,,,,,,,,,,
   25,TT,,,,,,,,,,
   27,IC,,,,,,,,,,
   28,IC,,,,,,,,,,
   29,IC,,,,,,,,,,
   30,IC,,,,,,,,,,
   32,IC,,,,,,,,,,
   38,IC,,,,,,,,,,
   41,IC,,,,,,,,,,
   45,CR,,,,,,,,,,
   46,SC,,,,,,,,,,
   49,TT,,,,,,,,,,
   54,IC,,,,,,,,,,
   57,IC,,,,,,,,,,
   59,SS,,,,,,,,,,
   61,TT,,,,,,,,,,
   64,IC,,,,,,,,,,
   68,ST,,,,,,,,,,
   69,ST,,,,,,,,,,
   74,SC,,,,,,,,,,
   77,CR,,,,,,,,,,
   78,CR,,,,,,,,,,
   80,SO,,,,,,,,,,
   87,TT,,,,,,,,,,
  100,TT,,,,,,,,,,
  109,TT,,,,,,,,,,
  113,TT,,,,,,,,,,
  115,SC,,,,,,,,,,
  118,SS,,,,,,,,,,
  119,SS,,,,,,,,,,
  125,IC,,,,,,,,,,
  127,SS,,,,,,,,,,
  129,TT,,,,,,,,,,
  131,IC,,,,,,,,,,
  134,SS,,,,,,,,,,
  135,SC,,,,,,,,,,
  139,TT,,,,,,,,,,
  140,TT,,,,,,,,,,
  142,IC,,,,,,,,,,
  143,IC,,,,,,,,,,
  144,SC,,,,,,,,,,
  147,SS,,,,,,,,,,
  149,IC,,,,,,,,,,
  153,SS,,,,,,,,,,
  155,SS,,,,,,,,,,
  156,SC,,,,,,,,,,
  157,SC,,,,,,,,,,
  158,FS,,,,,,,,,,
  159,SO,,,,,,,,,,
  160,SO,,,,,,,,,,
  162,IC,,,,,,,,,,
  165,SC,,,,,,,,,,
  173,SS,,,,,,,,,,
  181,TT,,,,,,,,,,
  185,FS,,,,,,,,,,
  191,FS,,,,,,,,,,
  199,IC,,,,,,,,,,
  201,IC,,,,,,,,,,
  202,SS,,,,,,,,,,
  211,ST,,,,,,,,,,
  212,ST,,,,,,,,,,
  213,ST,,,,,,,,,,
  222,TT,,,,,,,,,,
  223,SO,,,,,,,,,,
  224,IC,,,,,,,,,,
  225,IC,,,,,,,,,,
  230,IC,,,,,,,,,,
  237,ST,,,,,,,,,,
  239,CR,,,,,,,,,,
  243,SO,,,,,,,,,,
  244,SS,,,,,,,,,,
  245,ST,,,,,,,,,,
  247,SS,,,,,,,,,,
  253,IC,,,,,,,,,,
  255,FS,,,,,,,,,,
  259,IC,,,,,,,,,,
  262,IC,,,,,,,,,,
  263,SC,,,,,,,,,,
  266,SC,,,,,,,,,,
  268,SC,,,,,,,,,,
  269,IC,,,,,,,,,,
  270,IC,,,,,,,,,,
  285,TT,,,,,,,,,,
  294,IC,,,,,,,,,,
  301,SS,,,,,,,,,,
  313,SS,,,,,,,,,,
  316,IC,,,,,,,,,,
  324,IC,,,,,,,,,,
