Segment,label1,label2,label3,label4,label5,label6,label7,label8,label9,label10,label11
1,SS,,,,,,,,,,
2,SS,,,,,,,,,,
4,TT,,,,,,,,,,
7,TT,,,,,,,,,,
11,SS,,,,,,,,,,
18,IC,,,,,,,,,,
19,IC,,,,,,,,,,
29,TT,,,,,,,,,,
30,TT,,,,,,,,,,
32,TT,,,,,,,,,,
34,IC,,,,,,,,,,
35,IC,,,,,,,,,,
36,IC,,,,,,,,,,
37,IC,,,,,,,,,,
51,IC,,,,,,,,,,
52,IC,,,,,,,,,,
57,CR,,,,,,,,,,
58,SC,,,,,,,,,,
62,TT,,,,,,,,,,
67,IC,,,,,,,,,,
68,IC,,,,,,,,,,
71,IC,,,,,,,,,,
74,SS,,,,,,,,,,
77,TT,,,,,,,,,,
80,IC,,,,,,,,,,
81,IC,,,,,,,,,,
84,ST,,,,,,,,,,
85,ST,,,,,,,,,,
86,ST,,,,,,,,,,
87,SO,,,,,,,,,,
93,SC,,,,,,,,,,
97,CR,,,,,,,,,,
98,CR,,,,,,,,,,
101,SO,,,,,,,,,,
103,IC,,,,,,,,,,
109,TT,,,,,,,,,,
110,TT,,,,,,,,,,
126,TT,,,,,,,,,,
127,TT,,,,,,,,,,
138,TT,,,,,,,,,,
141,TT,,,,,,,,,,
142,TT,,,,,,,,,,
143,TT,,,,,,,,,,
146,IC,,,,,,,,,,
150,SS,,,,,,,,,,
151,SS,,,,,,,,,,
158,IC,,,,,,,,,,
159,SS,,,,,,,,,,
160,SS,,,,,,,,,,
163,TT,,,,,,,,,,
166,IC,,,,,,,,,,
168,SS,,,,,,,,,,
170,SC,,,,,,,,,,
176,TT,,,,,,,,,,
177,TT,,,,,,,,,,
178,IC,,,,,,,,,,
181,CR,,,,,,,,,,
184,SS,,,,,,,,,,
193,SS,,,,,,,,,,
197,SC,,,,,,,,,,
198,SC,,,,,,,,,,
200,SO,,,,,,,,,,
201,SO,,,,,,,,,,
204,IC,,,,,,,,,,
209,FS,,,,,,,,,,
217,ST,,,,,,,,,,
219,SS,,,,,,,,,,
222,FS,,,,,,,,,,
226,TT,,,,,,,,,,
233,FS,,,,,,,,,,
240,FS,,,,,,,,,,
242,TT,,,,,,,,,,
246,TT,,,,,,,,,,
247,TT,,,,,,,,,,
250,IC,,,,,,,,,,
253,IC,,,,,,,,,,
256,ST,,,,,,,,,,
266,ST,,,,,,,,,,
267,ST,,,,,,,,,,
269,ST,,,,,,,,,,
270,ST,,,,,,,,,,
279,TT,,,,,,,,,,
281,SO,,,,,,,,,,
282,IC,,,,,,,,,,
283,IC,,,,,,,,,,
290,IC,,,,,,,,,,
296,ST,,,,,,,,,,
298,ST,,,,,,,,,,
300,SS,,,,,,,,,,
306,SO,,,,,,,,,,
308,ST,,,,,,,,,,
309,ST,,,,,,,,,,
310,ST,,,,,,,,,,
311,ST,,,,,,,,,,
319,IC,,,,,,,,,,
322,FS,,,,,,,,,,
327,IC,,,,,,,,,,
331,IC,,,,,,,,,,
332,IC,,,,,,,,,,
336,SC,,,,,,,,,,
338,SC,,,,,,,,,,
339,SC,,,,,,,,,,
340,IC,,,,,,,,,,
