Segment,label1,label2,label3,label4,label5,label6,label7,label8,label9,label10,label11
    1,SS,,,,,,,,,,
    2,SS,,,,,,,,,,
    3,SS,,,,,,,,,,
    4,TT,,,,,,,,,,
    7,TT,,,,,,,,,,
   11,SS,,,,,,,,,,
   12,SS,,,,,,,,,,
   13,TT,,,,,,,,,,
   19,IC,,,,,,,,,,
   29,TT,,,,,,,,,,
   30,TT,,,,,,,,,,
   32,TT,,,,,,,,,,
   34,IC,,,,,,,,,,
   35,IC,,,,,,,,,,
   36,IC,,,,,,,,,,
   37,IC,,,,,,,,,,
   40,IC,,,,,,,,,,
   47,IC,,,,,,,,,,
   52,IC,,,,,,,,,,
   57,CR,,,,,,,,,,
   58,SC,,,,,,,,,,
   62,TT,,,,,,,,,,
   68,IC,,,,,,,,,,
   72,IC,,,,,,,,,,
   74,SS,,,,,,,,,,
   77,TT,,,,,,,,,,
   80,IC,,,,,,,,,,
   83,SS,,,,,,,,,,
   84,ST,,,,,,,,,,
   85,ST,,,,,,,,,,
   86,ST,,,,,,,,,,
   87,SO,,,,,,,,,,
   93,SC,,,,,,,,,,
   96,CR,,,,,,,,,,
   97,CR,,,,,,,,,,
   98,CR,,,,,,,,,,
  101,SO,,,,,,,,,,
  109,TT,,,,,,,,,,
  110,TT,,,,,,,,,,
  126,TT,,,,,,,,,,
  127,TT,,,,,,,,,,
  138,TT,,,,,,,,,,
  141,TT,,,,,,,,,,
  142,TT,,,,,,,,,,
  143,TT,,,,,,,,,,
  145,SC,,,,,,,,,,
  150,SS,,,,,,,,,,
  151,SS,,,,,,,,,,
  158,IC,,,,,,,,,,
  159,SS,,,,,,,,,,
  160,SS,,,,,,,,,,
  163,TT,,,,,,,,,,
  165,IC,,,,,,,,,,
  168,SS,,,,,,,,,,
  170,SC,,,,,,,,,,
  176,TT,,,,,,,,,,
  177,TT,,,,,,,,,,
  179,IC,,,,,,,,,,
  180,IC,,,,,,,,,,
  181,SC,,,,,,,,,,
  184,SS,,,,,,,,,,
  187,IC,,,,,,,,,,
  193,SS,,,,,,,,,,
  196,SC,,,,,,,,,,
  197,SC,,,,,,,,,,
  200,SO,,,,,,,,,,
  201,SO,,,,,,,,,,
  204,IC,,,,,,,,,,
  208,SC,,,,,,,,,,
  209,FS,,,,,,,,,,
  217,ST,,,,,,,,,,
  219,SS,,,,,,,,,,
  222,FS,,,,,,,,,,
  226,TT,,,,,,,,,,
  233,FS,,,,,,,,,,
  240,FS,,,,,,,,,,
  242,TT,,,,,,,,,,
  246,TT,,,,,,,,,,
  247,TT,,,,,,,,,,
  250,IC,,,,,,,,,,
  253,IC,,,,,,,,,,
  256,ST,,,,,,,,,,
  266,ST,,,,,,,,,,
  267,ST,,,,,,,,,,
  269,ST,,,,,,,,,,
  270,ST,,,,,,,,,,
  271,SS,,,,,,,,,,
  279,TT,,,,,,,,,,
  281,SO,,,,,,,,,,
  282,IC,,,,,,,,,,
  284,IC,,,,,,,,,,
  290,IC,,,,,,,,,,
  296,ST,,,,,,,,,,
  298,ST,,,,,,,,,,
  300,SS,,,,,,,,,,
  306,SO,,,,,,,,,,
  308,ST,,,,,,,,,,
